country,location,loc_code,lat,lon,cycle,phenotype_date,Year,Month,Day,NDVI
India,Pusa,PUS-NS,25.958,85.67,2016,2016-01-09,2016,1,9,0.74
India,Pusa,PUS-NS,25.958,85.67,2016,2016-01-16,2016,1,16,0.78
India,Pusa,PUS-NS,25.958,85.67,2016,2016-01-27,2016,1,27,0.79
India,Pusa,PUS-NS,25.958,85.67,2016,2016-02-03,2016,2,3,0.79
India,Pusa,PUS-NS,25.958,85.67,2016,2016-02-10,2016,2,10,0.73
India,Pusa,PUS-NS,25.958,85.67,2016,2016-02-17,2016,2,17,0.7
India,Pusa,PUS-NS,25.958,85.67,2016,2016-02-26,2016,2,26,0.62
India,Pusa,PUS-NS,25.958,85.67,2016,2016-03-03,2016,3,3,0.54
India,Pusa,PUS-NS,25.958,85.67,2016,2016-03-10,2016,3,10,0.36
India,Pusa,PUS-NS,25.958,85.67,2017,2016-12-27,2016,12,27,0.64
India,Pusa,PUS-NS,25.958,85.67,2017,2017-01-03,2017,1,3,0.71
India,Pusa,PUS-NS,25.958,85.67,2017,2017-01-10,2017,1,10,0.74
India,Pusa,PUS-NS,25.958,85.67,2017,2017-01-18,2017,1,18,0.76
India,Pusa,PUS-NS,25.958,85.67,2017,2017-01-25,2017,1,25,0.76
India,Pusa,PUS-NS,25.958,85.67,2017,2017-02-02,2017,2,2,0.76
India,Pusa,PUS-NS,25.958,85.67,2017,2017-02-10,2017,2,10,0.74
India,Pusa,PUS-NS,25.958,85.67,2017,2017-02-23,2017,2,23,0.65
India,Pusa,PUS-NS,25.958,85.67,2017,2017-03-04,2017,3,4,0.57
India,Pusa,PUS-NS,25.958,85.67,2017,2017-03-10,2017,3,10,0.51
India,Pusa,PUS-NS,25.958,85.67,2017,2017-03-15,2017,3,15,0.4
India,Pusa,PUS-NS,25.958,85.67,2018,2017-12-26,2017,12,26,0.7
India,Pusa,PUS-NS,25.958,85.67,2018,2017-12-30,2017,12,30,0.74
India,Pusa,PUS-NS,25.958,85.67,2018,2018-01-08,2018,1,8,0.78
India,Pusa,PUS-NS,25.958,85.67,2018,2018-01-13,2018,1,13,0.74
India,Pusa,PUS-NS,25.958,85.67,2018,2018-01-19,2018,1,19,0.77
India,Pusa,PUS-NS,25.958,85.67,2018,2018-01-27,2018,1,27,0.76
India,Pusa,PUS-NS,25.958,85.67,2018,2018-02-02,2018,2,2,0.76
India,Pusa,PUS-NS,25.958,85.67,2018,2018-02-09,2018,2,9,0.74
India,Pusa,PUS-NS,25.958,85.67,2018,2018-02-20,2018,2,20,0.68
India,Pusa,PUS-NS,25.958,85.67,2018,2018-02-23,2018,2,23,0.66
India,Pusa,PUS-NS,25.958,85.67,2018,2018-03-07,2018,3,7,0.54
India,Pusa,PUS-NS,25.958,85.67,2018,2018-03-16,2018,3,16,0.29
India,Pusa,PUS-NS,25.958,85.67,2019,2018-12-19,2018,12,19,0.72
India,Pusa,PUS-NS,25.958,85.67,2019,2018-12-28,2018,12,28,0.77
India,Pusa,PUS-NS,25.958,85.67,2019,2019-01-04,2019,1,4,0.79
India,Pusa,PUS-NS,25.958,85.67,2019,2019-01-16,2019,1,16,0.84
India,Pusa,PUS-NS,25.958,85.67,2019,2019-01-23,2019,1,23,0.84
India,Pusa,PUS-NS,25.958,85.67,2019,2019-02-04,2019,2,4,0.83
India,Pusa,PUS-NS,25.958,85.67,2019,2019-02-13,2019,2,13,0.79
India,Pusa,PUS-NS,25.958,85.67,2019,2019-02-21,2019,2,21,0.74
India,Pusa,PUS-NS,25.958,85.67,2019,2019-03-02,2019,3,2,0.7
India,Pusa,PUS-NS,25.958,85.67,2019,2019-03-14,2019,3,14,0.55
India,Pusa,PUS-NS,25.958,85.67,2020,2019-12-30,2019,12,30,0.73
India,Pusa,PUS-NS,25.958,85.67,2020,2020-01-16,2020,1,16,0.83
India,Pusa,PUS-NS,25.958,85.67,2020,2020-02-05,2020,2,5,0.83
India,Pusa,PUS-NS,25.958,85.67,2020,2020-02-20,2020,2,20,0.7
India,Pusa,PUS-NS,25.958,85.67,2020,2020-03-16,2020,3,16,0.44
India,Pusa,PUS-NS,25.958,85.67,2021,2020-12-24,2020,12,24,0.64
India,Pusa,PUS-NS,25.958,85.67,2021,2021-01-19,2021,1,19,0.71
India,Pusa,PUS-NS,25.958,85.67,2021,2021-01-27,2021,1,27,0.71
India,Pusa,PUS-NS,25.958,85.67,2021,2021-02-03,2021,2,3,0.73
India,Pusa,PUS-NS,25.958,85.67,2021,2021-02-26,2021,2,26,0.62
India,Pusa,PUS-NS,25.958,85.67,2021,2021-03-19,2021,3,19,0.26
China,Shunyi,SHU,40.225,116.57,2017,2017-04-12,2017,4,12,0.88
China,Shunyi,SHU,40.225,116.57,2017,2017-04-28,2017,4,28,0.8
China,Shunyi,SHU,40.225,116.57,2017,2017-05-05,2017,5,5,0.81
China,Shunyi,SHU,40.225,116.57,2017,2017-05-14,2017,5,14,0.75
China,Shunyi,SHU,40.225,116.57,2017,2017-05-21,2017,5,21,0.64
China,Shunyi,SHU,40.225,116.57,2017,2017-05-29,2017,5,29,0.57
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-06-09,2016,6,9,0.2
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-06-17,2016,6,17,0.23
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-06-22,2016,6,22,0.31
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-07-01,2016,7,1,0.37
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-07-06,2016,7,6,0.45
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-07-13,2016,7,13,0.58
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-07-15,2016,7,15,0.55
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-07-20,2016,7,20,0.54
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-07-22,2016,7,22,0.53
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-07-29,2016,7,29,0.68
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-08-05,2016,8,5,0.71
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-08-17,2016,8,17,0.74
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-08-23,2016,8,23,0.75
Australia,Minnipa,MIN,-32.834,135.15,2016,2016-09-02,2016,9,2,0.73
